server  |Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268253| Sensor11StartSending
server  |Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268255| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268256| start.
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268264| BMP280 init done.
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268272| got data from server
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268272| start-s11
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268282| got start command
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268282| reset BME280
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268292| got data from BME280
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268292| 2281
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268298| 4674
sensor11|Thu Mar 09 2017 21:44:28 GMT+0100 (CET)|1489092268298| 330
sensor11|Thu Mar 09 2017 21:44:32 GMT+0100 (CET)|1489092272822| Sending data to server
server  |Thu Mar 09 2017 21:44:33 GMT+0100 (CET)|1489092273031| Sensor11SendOk
sensor11|Thu Mar 09 2017 21:44:34 GMT+0100 (CET)|1489092274076| SendOk
sensor11|Thu Mar 09 2017 21:44:34 GMT+0100 (CET)|1489092274076| 
sensor11|Thu Mar 09 2017 21:44:48 GMT+0100 (CET)|1489092288193| wakeUp
server  |Thu Mar 09 2017 21:45:14 GMT+0100 (CET)|1489092314776| 0|0|0|0|11
server  |Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344939| Sensor11StartSending
server  |Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344939| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344939| got data from server
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344939| start-s11
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344939| got start command
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344943| reset BME280
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344953| got data from BME280
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344954| 2280
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344959| 4675
sensor11|Thu Mar 09 2017 21:45:44 GMT+0100 (CET)|1489092344960| 330
server  |Thu Mar 09 2017 21:45:49 GMT+0100 (CET)|1489092349331| Sensor11SendOk
server  |Thu Mar 09 2017 21:45:49 GMT+0100 (CET)|1489092349466| 2280|4675|330|323|11
sensor11|Thu Mar 09 2017 21:45:49 GMT+0100 (CET)|1489092349467| Sending data to server
sensor11|Thu Mar 09 2017 21:45:51 GMT+0100 (CET)|1489092351020| SendOk
sensor11|Thu Mar 09 2017 21:45:51 GMT+0100 (CET)|1489092351020| 
sensor11|Thu Mar 09 2017 21:46:04 GMT+0100 (CET)|1489092364763| wakeUp
server  |Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379617| Sensor11StartSending
server  |Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379617| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379617| got data from server
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379620| start-s11
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379621| got start command
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379625| reset BME280
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379636| got data from BME280
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379636| 2302
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379642| 4731
sensor11|Thu Mar 09 2017 21:46:19 GMT+0100 (CET)|1489092379642| 332
server  |Thu Mar 09 2017 21:46:23 GMT+0100 (CET)|1489092383896| Sensor11SendOk
server  |Thu Mar 09 2017 21:46:24 GMT+0100 (CET)|1489092384149| 2302|4731|332|323|11
sensor11|Thu Mar 09 2017 21:46:24 GMT+0100 (CET)|1489092384149| Sending data to server
sensor11|Thu Mar 09 2017 21:46:25 GMT+0100 (CET)|1489092385220| SendOk
sensor11|Thu Mar 09 2017 21:46:25 GMT+0100 (CET)|1489092385220| 
sensor11|Thu Mar 09 2017 21:46:39 GMT+0100 (CET)|1489092399380| wakeUp
server  |Thu Mar 09 2017 21:46:54 GMT+0100 (CET)|1489092414286| Sensor11StartSending
server  |Thu Mar 09 2017 21:46:54 GMT+0100 (CET)|1489092414288| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:46:54 GMT+0100 (CET)|1489092414295| got data from server
sensor11|Thu Mar 09 2017 21:46:54 GMT+0100 (CET)|1489092414303| start-s11
sensor11|Thu Mar 09 2017 21:46:54 GMT+0100 (CET)|1489092414303| got start command
sensor11|Thu Mar 09 2017 21:46:54 GMT+0100 (CET)|1489092414308| reset BME280
